,precision,recall,f1-score,support
0,0.13333333333333333,0.11764705882352941,0.125,17.0
1,0.2631578947368421,0.3333333333333333,0.29411764705882354,15.0
2,0.0,0.0,0.0,15.0
3,0.2727272727272727,0.5625,0.36734693877551017,16.0
4,0.0,0.0,0.0,17.0
5,0.2,0.3125,0.24390243902439027,16.0
accuracy,,,0.21875,96.0
macro avg,0.14486975013290804,0.22099673202614378,0.171727837476454,96.0
weighted avg,0.1435174109516215,0.21875,0.16996619531959126,96.0
